Channel id,Channel Name,Total Videos,Subscribers,Total Views,,,
UC8md0UEGj7UbjcZtMjBVrgQ,Behindwoods TV,85552,19900000,28202396879,,,
UCZFMm1mMw0F81Z37aaEzTUA,NDTV,253938,15500000,7702483486,,,
UCmyKnNRH0wH-r8I-ceP-dsg,PuthiyathalaimuraiTV,451898,15000000,14116793437,,,
UC531MlZA5LUbeGwEN_zcppw,News18 Bihar Jharkhand,227147,12700000,5752383019,,,
UC-JFyL0zDFOsPMpuWu39rPA,Thanthi TV,601715,12500000,19029520010,,,
UC8Z-VjXBtDJTvq6aqkIskPg,Polimer News,357313,12400000,16266887892,,,
UCSbUX_gKMur5FPcTbH2L5mA,Galatta Tamil | ??????? ?????,97947,11500000,10322542869,,,
UCYlh4lH762HvHt6mmiecyWQ,Sun News,207867,11300000,9724375564,,,
UCYPvAwZP8pZhSMW8qs7cVCw,India Today,300241,10900000,5423895704,,,
UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,255873,10300000,5809999614,,,
UCtFQDgA8J8_iiwc5-KoAQlg,ANI News,120838,9060000,6038499741,,,
UCY6KjrDBN_tIRFT_QNqQbRQ,Madan Gowri,4051,8480000,2722312554,,,
UC2ziCMHFPWkFHjocUMXT__Q,Sathiyam News,215271,7310000,6591128580,,,
UC6RJ7-PaXg6TIH2BzZfTV7w,Times Now,189770,7130000,3995250132,,,
UCat88i6_rELqI_prwvjspRA,News18 Tamil Nadu,299031,7090000,5435487921,,,
UCGyZswzm4G-wEfRQHgMSAuw,News7 Tamil,155958,5400000,2012175530,,,
UCiqE4DQsQ0zlwjOV04s2gEA,NewsGlitz Tamil,34222,5400000,2603231477,,,
UCpZBvTbjam0yTrD4HUUWTZw,Oneindia Tamil,38587,4780000,953026240,,,
UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,59508,4280000,1609381946,,,
UCdMtj4CiqlZTgzFT5FdDd7A,Nakkheeran TV ,33457,4130000,1616336658,,,
UC38z3fT9RO4yugLJoCZLygw,Behindwoods O2,8576,4100000,892005519,,,
UCUWdltdSR6mONwLa5ODDVjw,Galatta Voice,42319,4050000,2170875521,,,
UCtbo6_eDG7zEtaOtcSltJkA,NewsTamil 24X7,261783,4000000,4084556401,,,
UCZinho9wu3iAeRpUXvAMzBQ,IBC Tamil,48376,3830000,1616598176,,,
UChcR8SrIiSON4KxmtpwfMgw,Dinamalar,158273,3460000,2105939343,,,
UCwgqmM4JWKAhKzuhGbFIMTg,Aadhan Tamil,17955,2800000,842912493,,,
UCe1Nb-N6XgLFHfGxZjIkF8A,Red Pix 24x7,22146,2790000,1194803127,,,
UCid9cuueSsvDweLhPqDpAjA,Prime9 Tamil,6298,2200000,128267052,,,
UCRK4FDIkUyslEAUdyRDdCtQ,NEWS9 Live,116447,2150000,767965287,,,
UCoOu4D7foJWfKvcDLxqrF2Q,Chanakyaa,86034,2080000,1157852490,,,
UCtuuSv_4r6op5RHDs9HzsqA,Bingoo Box,7204,1970000,1063210342,,,
UC730W2Tw77OQ8dOOCKWXaPQ,ABP Nadu,58514,1960000,2157156208,,,
UCyQEgd5bpLWVkFs3-fdYMQQ,Saattai,5452,1870000,702618483,,,
UC3njZ48-FDxLleBYaP0SZIg,The Hindu,13940,1850000,366267845,,,
UCXbufH95DIUqyAWSzeDI0JQ,Malaimurasu Tv 24X7,100101,1850000,649186493,,,
UCfNpmB2rUzgFyQ40rJOizzg,iTamilNews,26636,1770000,933318585,,,
UCKS2lBhhZZGipYENVHxMBkQ,HW News English,28606,1730000,690241795,,,
UCcVF2Fth-qEA4T1Lhn3CgKg,Kalaignar TV News,61776,1620000,789126995,,,
UCytSP0M0Jdnw6qIy3Y-nTig,NewsX Live,77058,1520000,497664708,,,
UCIHJMzz_wfpggVFf-PJehlA,Mobile Journalist,18579,1510000,721234784,,,
UC5LByW5cyoCtMu3wsJot2mQ,Fine Time Media ,1791,1430000,18755103,,,
UCDh2jW3DhVDpNYmRPeJUe5A,Aagayam Tamil,18739,1330000,707161988,,,
UCiQqeecBr38vyQCTq-ef9MQ,Neerthirai,8925,1270000,452206587,,,
UCRYRja_Viq1lWUJocHN6dtQ,Tamil News Now ,6502,1130000,979574688,,,
UCsfh2Zb7-m4qzT8jLhK_Fzw,NewsJ,132863,1110000,361918275,,,
UCN0lfcRcYiMzLzGn1SnSsXw,Maridhas Answers,2317,1100000,339316649,,,
UCaoclAkL8-uQ1V_6riZDDYQ,YellowBench Tamil,10191,1060000,422988415,,,
UC6OTvR4AB1CHC4HT_AlOmHg,V News27,91627,1030000,932913492,,,
UCpZWab1NlVkDeM1RYd3Yg5g,Orae Thalaivan,745,1000000,147453887,,,
UCQref5u7Hm10bAHWSD_sXSQ,Jeeva Today,9743,989000,356098559,,,
UCfBXwSssUDv3_4RY8UQ3WYw,King 360,22486,940000,335383466,,,
UCpSLfHgOlcSBlkxRnMKcnVw,Ilaya Bharatham-???? ?????? ,18064,937000,921366599,,,
UCMkpWZfMBmu3eFbc32MVFRg,Wow Tamizhaa,14501,925000,648012639,,,
UCJ36XbT02JNAlBEBgZtW7GQ,Hindu Tamil Thisai,15436,922000,244071334,,,
UCrpEPrZCzOBIpz4XRMEaUAQ,India Today Conclave,2715,919000,202194687,,,
UC7VpplgC9slfyAyZktw4dig,2 K DHANUSH,688,918000,1094290422,,,
UCZQ1PNcXnEOsb8SOBYPIrHQ,Pesu Tamizha Pesu,11145,910000,437094950,,,
UC6VwW1QAQuPBSHZ9a_25yYg,nba 24x7,23565,884000,305734408,,,
UCgFSoS8vu0ONak4z5OBORHw,Minnambalam,24260,883000,385688076,,,
UC5OAuYMWPqdWMmWlDkZV2gw,Channel 5 Tamil,9927,879000,127958040,,,
UC8KjgXw8aG0v2uHrtGY4pAg,Cloud7 Voice,1555,842000,333918530,,,
UCPIM-Ev-sEJ_aEcpDCndqUQ,Advocate Vignesh MuthuKumar,1346,833000,279628042,,,
UCneIqgxJviqGVQS2fIN-3jQ,Thamarai TV,14774,831000,589718523,,,
UC3MiyqRMvE5GZm8mqmbOQBg,Savukku Media Network,2034,826000,333046807,,,
UCJyDVpGUDhQO7hImG-Tnbbg,Gem Television,50244,809000,492287284,,,
UCF26mDbuwV8-3X4qS2nH0TA,ThaaiThamizh Official,2565,798000,265753864,,,
UC49QIX7RoqJ4Pzj8E4rUk8w,Realone Voice,4575,746000,126622060,,,
UCgZxM9BVOWr1w9Edi79Wg5w,Tamil Janam,39177,743000,475613363,,,
